ds,y
2022-07-08 00:00:00,213
2022-07-08 01:00:00,284
2022-07-08 02:00:00,425
2022-07-08 03:00:00,350
2022-07-08 04:00:00,213
2022-07-08 05:00:00,112
2022-07-08 06:00:00,67
2022-07-08 07:00:00,25
2022-07-08 08:00:00,35
2022-07-08 09:00:00,30
2022-07-08 10:00:00,50
2022-07-08 11:00:00,79
2022-07-08 12:00:00,108
2022-07-08 13:00:00,157
2022-07-08 14:00:00,175
2022-07-08 15:00:00,187
2022-07-08 16:00:00,168
2022-07-08 17:00:00,221
2022-07-08 18:00:00,234
2022-07-08 19:00:00,272
2022-07-08 20:00:00,240
2022-07-08 21:00:00,358
2022-07-08 22:00:00,150
2022-07-08 23:00:00,245
2022-07-09 00:00:00,302
2022-07-09 01:00:00,253
2022-07-09 02:00:00,143
2022-07-09 03:00:00,135
2022-07-09 04:00:00,147
2022-07-09 05:00:00,115
2022-07-09 06:00:00,43
2022-07-09 07:00:00,39
2022-07-09 08:00:00,39
2022-07-09 09:00:00,42
2022-07-09 10:00:00,48
2022-07-09 11:00:00,63
2022-07-09 12:00:00,60
2022-07-09 13:00:00,122
2022-07-09 14:00:00,104
2022-07-09 15:00:00,148
2022-07-09 16:00:00,125
2022-07-09 17:00:00,128
2022-07-09 18:00:00,191
2022-07-09 19:00:00,154
2022-07-09 20:00:00,228
2022-07-09 21:00:00,224
2022-07-09 22:00:00,238
2022-07-09 23:00:00,258
2022-07-10 00:00:00,278
2022-07-10 01:00:00,185
2022-07-10 02:00:00,161
2022-07-10 03:00:00,235
2022-07-10 04:00:00,75
2022-07-10 05:00:00,56
2022-07-10 06:00:00,39
2022-07-10 07:00:00,36
2022-07-10 08:00:00,40
2022-07-10 09:00:00,79
2022-07-10 10:00:00,32
2022-07-10 11:00:00,42
2022-07-10 12:00:00,62
2022-07-10 13:00:00,81
2022-07-10 14:00:00,103
2022-07-10 15:00:00,114
2022-07-10 16:00:00,137
2022-07-10 17:00:00,168
2022-07-10 18:00:00,200
2022-07-10 19:00:00,165
2022-07-10 20:00:00,208
2022-07-10 21:00:00,128
2022-07-10 22:00:00,153
2022-07-10 23:00:00,232
2022-07-11 00:00:00,365
2022-07-11 01:00:00,373
2022-07-11 02:00:00,503
2022-07-11 03:00:00,462
2022-07-11 04:00:00,337
2022-07-11 05:00:00,95
2022-07-11 06:00:00,72
2022-07-11 07:00:00,24
2022-07-11 08:00:00,18
2022-07-11 09:00:00,33
2022-07-11 10:00:00,33
2022-07-11 11:00:00,96
2022-07-11 12:00:00,89
2022-07-11 13:00:00,134
2022-07-11 14:00:00,136
2022-07-11 15:00:00,189
2022-07-11 16:00:00,197
2022-07-11 17:00:00,188
2022-07-11 18:00:00,269
2022-07-11 19:00:00,149
2022-07-11 20:00:00,158
2022-07-11 21:00:00,151
2022-07-11 22:00:00,208
2022-07-11 23:00:00,372
2022-07-12 00:00:00,233
2022-07-12 01:00:00,364
2022-07-12 02:00:00,496
2022-07-12 03:00:00,263
2022-07-12 04:00:00,155
2022-07-12 05:00:00,61
2022-07-12 06:00:00,44
2022-07-12 07:00:00,21
2022-07-12 08:00:00,30
2022-07-12 09:00:00,20
2022-07-12 10:00:00,40
2022-07-12 11:00:00,95
2022-07-12 12:00:00,81
2022-07-12 13:00:00,144
2022-07-12 14:00:00,143
2022-07-12 15:00:00,165
2022-07-12 16:00:00,163
2022-07-12 17:00:00,164
2022-07-12 18:00:00,127
2022-07-12 19:00:00,118
2022-07-12 20:00:00,180
2022-07-12 21:00:00,294
2022-07-12 22:00:00,268
2022-07-12 23:00:00,334
2022-07-13 00:00:00,281
2022-07-13 01:00:00,483
2022-07-13 02:00:00,482
2022-07-13 03:00:00,377
2022-07-13 04:00:00,154
2022-07-13 05:00:00,129
2022-07-13 06:00:00,56
2022-07-13 07:00:00,26
2022-07-13 08:00:00,15
2022-07-13 09:00:00,18
2022-07-13 10:00:00,51
2022-07-13 11:00:00,109
2022-07-13 12:00:00,147
2022-07-13 13:00:00,190
2022-07-13 14:00:00,183
2022-07-13 15:00:00,163
2022-07-13 16:00:00,248
2022-07-13 17:00:00,165
2022-07-13 18:00:00,134
2022-07-13 19:00:00,117
2022-07-13 20:00:00,140
2022-07-13 21:00:00,154
2022-07-13 22:00:00,187
2022-07-13 23:00:00,172
2022-07-14 00:00:00,266
2022-07-14 01:00:00,414
2022-07-14 02:00:00,504
2022-07-14 03:00:00,368
2022-07-14 04:00:00,269
2022-07-14 05:00:00,95
2022-07-14 06:00:00,69
2022-07-14 07:00:00,48
2022-07-14 08:00:00,21
2022-07-14 09:00:00,23
2022-07-14 10:00:00,34
2022-07-14 11:00:00,83
2022-07-14 12:00:00,59
2022-07-14 13:00:00,115
2022-07-14 14:00:00,98
2022-07-14 15:00:00,103
2022-07-14 16:00:00,195
2022-07-14 17:00:00,163
2022-07-14 18:00:00,141
2022-07-14 19:00:00,119
2022-07-14 20:00:00,172
2022-07-14 21:00:00,155
2022-07-14 22:00:00,206
2022-07-14 23:00:00,307
2022-07-15 00:00:00,257
2022-07-15 01:00:00,271
2022-07-15 02:00:00,221
2022-07-15 03:00:00,306
2022-07-15 04:00:00,214
2022-07-15 05:00:00,79
2022-07-15 06:00:00,34
2022-07-15 07:00:00,44
2022-07-15 08:00:00,43
2022-07-15 09:00:00,18
2022-07-15 10:00:00,51
2022-07-15 11:00:00,71
2022-07-15 12:00:00,99
2022-07-15 13:00:00,115
2022-07-15 14:00:00,128
2022-07-15 15:00:00,181
2022-07-15 16:00:00,183
2022-07-15 17:00:00,228
2022-07-15 18:00:00,173
2022-07-15 19:00:00,155
2022-07-15 20:00:00,144
2022-07-15 21:00:00,189
2022-07-15 22:00:00,229
2022-07-15 23:00:00,197
2022-07-16 00:00:00,267
2022-07-16 01:00:00,339
2022-07-16 02:00:00,247
2022-07-16 03:00:00,225
2022-07-16 04:00:00,131
2022-07-16 05:00:00,170
2022-07-16 06:00:00,105
2022-07-16 07:00:00,38
2022-07-16 08:00:00,38
2022-07-16 09:00:00,25
2022-07-16 10:00:00,33
2022-07-16 11:00:00,42
2022-07-16 12:00:00,55
2022-07-16 13:00:00,75
2022-07-16 14:00:00,89
2022-07-16 15:00:00,119
2022-07-16 16:00:00,133
2022-07-16 17:00:00,163
2022-07-16 18:00:00,250
2022-07-16 19:00:00,147
2022-07-16 20:00:00,141
2022-07-16 21:00:00,368
2022-07-16 22:00:00,242
2022-07-16 23:00:00,209
2022-07-17 00:00:00,172
2022-07-17 01:00:00,299
2022-07-17 02:00:00,267
2022-07-17 03:00:00,182
2022-07-17 04:00:00,104
2022-07-17 05:00:00,70
2022-07-17 06:00:00,78
2022-07-17 07:00:00,48
2022-07-17 08:00:00,47
2022-07-17 09:00:00,55
2022-07-17 10:00:00,29
2022-07-17 11:00:00,27
2022-07-17 12:00:00,44
2022-07-17 13:00:00,61
2022-07-17 14:00:00,88
2022-07-17 15:00:00,178
2022-07-17 16:00:00,267
2022-07-17 17:00:00,310
2022-07-17 18:00:00,278
2022-07-17 19:00:00,378
2022-07-17 20:00:00,306
2022-07-17 21:00:00,204
2022-07-17 22:00:00,209
2022-07-17 23:00:00,247
2022-07-18 00:00:00,209
2022-07-18 01:00:00,225
2022-07-18 02:00:00,225
2022-07-18 03:00:00,227
2022-07-18 04:00:00,175
2022-07-18 05:00:00,81
2022-07-18 06:00:00,86
2022-07-18 07:00:00,46
2022-07-18 08:00:00,29
2022-07-18 09:00:00,22
2022-07-18 10:00:00,40
2022-07-18 11:00:00,72
2022-07-18 12:00:00,74
2022-07-18 13:00:00,242
2022-07-18 14:00:00,207
2022-07-18 15:00:00,230
2022-07-18 16:00:00,274
2022-07-18 17:00:00,172
2022-07-18 18:00:00,101
2022-07-18 19:00:00,137
2022-07-18 20:00:00,161
2022-07-18 21:00:00,273
2022-07-18 22:00:00,311
2022-07-18 23:00:00,281
2022-07-19 00:00:00,286
2022-07-19 01:00:00,310
2022-07-19 02:00:00,262
2022-07-19 03:00:00,174
2022-07-19 04:00:00,188
2022-07-19 05:00:00,126
2022-07-19 06:00:00,73
2022-07-19 07:00:00,22
2022-07-19 08:00:00,18
2022-07-19 09:00:00,20
2022-07-19 10:00:00,40
2022-07-19 11:00:00,53
2022-07-19 12:00:00,70
2022-07-19 13:00:00,119
2022-07-19 14:00:00,140
2022-07-19 15:00:00,182
2022-07-19 16:00:00,222
2022-07-19 17:00:00,165
2022-07-19 18:00:00,150
2022-07-19 19:00:00,128
2022-07-19 20:00:00,104
2022-07-19 21:00:00,141
2022-07-19 22:00:00,172
2022-07-19 23:00:00,227
2022-07-20 00:00:00,201
2022-07-20 01:00:00,255
2022-07-20 02:00:00,320
2022-07-20 03:00:00,416
2022-07-20 04:00:00,175
2022-07-20 05:00:00,111
2022-07-20 06:00:00,85
2022-07-20 07:00:00,94
2022-07-20 08:00:00,83
2022-07-20 09:00:00,53
2022-07-20 10:00:00,67
2022-07-20 11:00:00,70
2022-07-20 12:00:00,87
2022-07-20 13:00:00,105
2022-07-20 14:00:00,172
2022-07-20 15:00:00,266
2022-07-20 16:00:00,307
2022-07-20 17:00:00,202
2022-07-20 18:00:00,146
2022-07-20 19:00:00,120
2022-07-20 20:00:00,126
2022-07-20 21:00:00,170
2022-07-20 22:00:00,225
2022-07-20 23:00:00,301
2022-07-21 00:00:00,233
2022-07-21 01:00:00,207
2022-07-21 02:00:00,236
2022-07-21 03:00:00,262
2022-07-21 04:00:00,166
2022-07-21 05:00:00,63
2022-07-21 06:00:00,58
2022-07-21 07:00:00,43
2022-07-21 08:00:00,43
2022-07-21 09:00:00,62
2022-07-21 10:00:00,35
2022-07-21 11:00:00,59
2022-07-21 12:00:00,106
2022-07-21 13:00:00,121
2022-07-21 14:00:00,134
2022-07-21 15:00:00,177
2022-07-21 16:00:00,220
2022-07-21 17:00:00,219
2022-07-21 18:00:00,174
2022-07-21 19:00:00,154
2022-07-21 20:00:00,152
2022-07-21 21:00:00,139
2022-07-21 22:00:00,178
2022-07-21 23:00:00,263
2022-07-22 00:00:00,259
2022-07-22 01:00:00,309
2022-07-22 02:00:00,270
2022-07-22 03:00:00,190
2022-07-22 04:00:00,171
2022-07-22 05:00:00,144
2022-07-22 06:00:00,96
2022-07-22 07:00:00,51
2022-07-22 08:00:00,31
2022-07-22 09:00:00,39
2022-07-22 10:00:00,44
2022-07-22 11:00:00,85
2022-07-22 12:00:00,99
2022-07-22 13:00:00,139
2022-07-22 14:00:00,124
